"event","statenum","tau","se","l0_group","dp_effect"
76,30,-0.00550596055109054,0.00647402219396948,1,0.00131644480579492
75,30,0.000891946954652667,0.00647402219396948,3,0.00138567936722399
74,30,-0.0033177305595018,0.00647402219396948,1,0.00133487480702939
73,29,-0.00547903555707308,0.00647402219396948,1,0.00129059749567497
72,29,0.00485583614499774,0.00647402219396948,2,0.00148486880692996
71,27,-0.00690030911937356,0.00647402219396948,1,0.00130306590516336
70,27,0.00579483469482511,0.00647402219396948,2,0.0014017349319707
69,27,-0.000292200827971101,0.00647402219396948,1,0.00140119570325033
68,27,-0.000170942319527967,0.00647402219396948,1,0.00139739612438205
67,27,0.00631510850507766,0.00647402219396948,2,0.00147038079187221
66,27,0.00873157501337118,0.00647402219396948,2,0.00152448710477234
65,26,0.000486242184706498,0.00647402219396948,3,0.001406864809428
64,26,-0.00109928339225007,0.00647402219396948,1,0.00138654508385151
63,26,0.00684075331082568,0.00647402219396948,2,0.0015002434916222
62,25,0.00211764890991617,0.00647402219396948,3,0.00141371872717661
61,25,0.00746200396679342,0.00647402219396948,2,0.00148757671857881
60,25,-0.00145710358629003,0.00647402219396948,1,0.00137319731206953
59,25,7.69762846175581e-05,0.00647402219396948,1,0.00135741119336613
58,25,0.00115334507427178,0.00647402219396948,3,0.00139682715615732
57,24,-0.00233295254292898,0.00647402219396948,1,0.0013485216331654
56,19,0.00356989185092971,0.00647402219396948,3,0.00147396028752958
55,19,0.00695003021974117,0.00647402219396948,2,0.00149352686051973
54,19,0.0101811431813985,0.00647402219396948,2,0.00156604711257529
53,19,0.00349926805938594,0.00647402219396948,3,0.00141565902132436
52,17,0.00149710936238989,0.00647402219396948,3,0.0014055587154549
51,17,0.00497894576983526,0.00647402219396948,2,0.00144275522167671
50,17,0.00303731503663585,0.00647402219396948,3,0.00141769025343017
49,15,0.00127658923156559,0.00647402219396948,3,0.00138885669119256
48,15,0.00606324651744217,0.00647402219396948,2,0.00145145491578254
47,15,0.00483897710546444,0.00647402219396948,2,0.00143647593983078
46,15,0.00190469624067191,0.00647402219396948,3,0.00144218593850356
45,15,0.00510952447075397,0.00647402219396948,2,0.00140875812467233
44,15,-0.000457977468613535,0.00647402219396948,1,0.00139331570314358
43,15,-0.00547480781096965,0.00647402219396948,1,0.00131902719007221
42,15,0.00288927101064473,0.00647402219396948,3,0.00141578922783702
41,12,0.00672223986475728,0.00647402219396948,2,0.00145134217238407
40,12,-0.000102367655017588,0.00647402219396948,1,0.00139644862680731
39,12,-0.00333672067790758,0.00647402219396948,1,0.00134418109722632
38,11,-0.01758141675964,0.00647402219396948,4,-0.000938978785094434
37,11,-0.00517656421288848,0.00647402219396948,1,0.00132972261229575
36,11,-0.00313834915868938,0.00647402219396948,1,0.00136572700473658
35,11,-0.00365960143972188,0.00647402219396948,1,0.00134720303574546
34,11,-0.0148853266146034,0.00647402219396948,4,0.000367825038415985
33,11,-0.0127759069437161,0.00647402219396948,4,0.000844765002240768
32,11,0.00491062679793686,0.00647402219396948,2,0.00148033161431231
31,11,0.0253715477883816,0.00647402219396948,5,0.0131471292223074
30,10,-0.00243940294603817,0.00647402219396948,1,0.00136920945369449
29,10,0.00163840446293761,0.00647402219396948,3,0.00138411998165809
28,10,0.00309570669196546,0.00647402219396948,3,0.001426534982757
27,9,0.000783662224421278,0.00647402219396948,3,0.00139287658016467
26,9,-0.00147615402238443,0.00647402219396948,1,0.00135024617475882
25,9,-0.00102587167566526,0.00647402219396948,1,0.00139230243043561
24,9,-0.00196898807189427,0.00647402219396948,1,0.00132953970639554
23,9,-0.00528217260580277,0.00647402219396948,1,0.00133295498692909
22,9,-0.00215030388062587,0.00647402219396948,1,0.00134232098448718
21,8,0.00564652850152925,0.00647402219396948,2,0.00144176710904534
20,8,0.00122684641974047,0.00647402219396948,3,0.00139132582130318
19,6,0.00370277088950388,0.00647402219396948,3,0.00141619701899497
18,6,0.00748640715028159,0.00647402219396948,2,0.00145923207098074
17,6,0.00119574798372923,0.00647402219396948,3,0.00140441251756144
16,6,0.003854044014588,0.00647402219396948,3,0.00141886815473404
15,6,-0.00079510967771057,0.00647402219396948,1,0.00137040249711843
14,6,0.00217244142913842,0.00647402219396948,3,0.00141091980394594
13,6,0.00209182403341401,0.00647402219396948,3,0.00139442711441004
12,6,-0.00443113470828393,0.00647402219396948,1,0.00133442079376827
11,6,-0.000900180559256114,0.00647402219396948,1,0.00138680344511164
10,5,-0.00576813885709271,0.00647402219396948,1,0.00131194625815622
9,5,0.00224856959539466,0.00647402219396948,3,0.00141811223836836
8,5,0.00476647005416453,0.00647402219396948,2,0.00144289530607325
7,4,0.0070129141677171,0.00647402219396948,2,0.00145213380958713
6,4,0.000854173254992929,0.00647402219396948,3,0.00142721206536645
5,4,0.00359142839442939,0.00647402219396948,3,0.00144539473210368
4,2,-0.0015845626051032,0.00647402219396948,1,0.00138437248517136
3,2,-0.000784139090683311,0.00647402219396948,1,0.00136192975576505
2,2,0.0098916629794985,0.00647402219396948,2,0.00156331111376544
1,2,0.00752624432789162,0.00647402219396948,2,0.00148120753845917
