"method","true_group","tau_true","iteration","estimate"
"L0 (L=0.5)","Group A (tau=2)",2,30,2.0018072989348
"Pooled","Group A (tau=2)",2,30,2.6211394062201
"DP Bayes","Group B (tau=4)",4,30,4.06668251780234
"Flexible","Group B (tau=4)",4,30,4.04754787185528
"L0 (L=0.5)","Group B (tau=4)",4,30,4.06624765655245
"Pooled","Group B (tau=4)",4,30,2.6211394062201
"DP Bayes","Group A (tau=2)",2,31,1.96140936331601
"Flexible","Group A (tau=2)",2,31,1.97015798205889
"L0 (L=0.5)","Group A (tau=2)",2,31,1.95834720035553
"Pooled","Group A (tau=2)",2,31,2.56996298680262
"DP Bayes","Group B (tau=4)",4,31,3.9947213318719
"Flexible","Group B (tau=4)",4,31,4.03512761535401
"L0 (L=0.5)","Group B (tau=4)",4,31,3.9970664885125
"Pooled","Group B (tau=4)",4,31,2.56996298680262
"DP Bayes","Group A (tau=2)",2,32,1.95992142652535
"Flexible","Group A (tau=2)",2,32,1.97261454481762
"L0 (L=0.5)","Group A (tau=2)",2,32,1.95867634181619
"Pooled","Group A (tau=2)",2,32,2.54847427658676
"DP Bayes","Group B (tau=4)",4,32,3.94195310185431
"Flexible","Group B (tau=4)",4,32,3.93360761485963
"L0 (L=0.5)","Group B (tau=4)",4,32,3.9350825189736
"Pooled","Group B (tau=4)",4,32,2.54847427658676
"DP Bayes","Group A (tau=2)",2,33,2.01197386925993
"Flexible","Group A (tau=2)",2,33,2.01839237769836
"L0 (L=0.5)","Group A (tau=2)",2,33,2.01365869014985
"Pooled","Group A (tau=2)",2,33,2.6067417334088
"DP Bayes","Group B (tau=4)",4,33,3.99764467621535
"Flexible","Group B (tau=4)",4,33,4.04432211628183
"L0 (L=0.5)","Group B (tau=4)",4,33,3.99060216767965
"Pooled","Group B (tau=4)",4,33,2.6067417334088
"DP Bayes","Group A (tau=2)",2,34,1.95400122267662
"Flexible","Group A (tau=2)",2,34,1.94642053704116
"L0 (L=0.5)","Group A (tau=2)",2,34,1.94787242688285
"Pooled","Group A (tau=2)",2,34,2.54990193656607
"DP Bayes","Group B (tau=4)",4,34,3.91878561174854
"Flexible","Group B (tau=4)",4,34,3.9462368982248
"L0 (L=0.5)","Group B (tau=4)",4,34,3.95463745916028
"Pooled","Group B (tau=4)",4,34,2.54990193656607
"DP Bayes","Group A (tau=2)",2,35,1.94413879501518
"Flexible","Group A (tau=2)",2,35,1.96142294499425
"L0 (L=0.5)","Group A (tau=2)",2,35,1.94899687384849
"Pooled","Group A (tau=2)",2,35,2.57716227402993
"DP Bayes","Group B (tau=4)",4,35,4.03856745861926
"Flexible","Group B (tau=4)",4,35,4.10068184851834
"L0 (L=0.5)","Group B (tau=4)",4,35,4.04288154111995
"Pooled","Group B (tau=4)",4,35,2.57716227402993
"DP Bayes","Group A (tau=2)",2,36,2.04685764398103
"Flexible","Group A (tau=2)",2,36,2.06428033803957
