"method","true_group","tau_true","iteration","estimate"
"L0 (L=0.5)","Group B (tau=4)",4,249,3.99676620886942
"Pooled","Group B (tau=4)",4,249,2.59352245776253
"DP Bayes","Group A (tau=2)",2,250,1.99641948126609
"Flexible","Group A (tau=2)",2,250,1.98468809645057
"L0 (L=0.5)","Group A (tau=2)",2,250,2.00127088242679
"Pooled","Group A (tau=2)",2,250,2.59187342584172
"DP Bayes","Group B (tau=4)",4,250,3.9660187209269
"Flexible","Group B (tau=4)",4,250,3.95185299072011
"L0 (L=0.5)","Group B (tau=4)",4,250,3.9699460271432
"Pooled","Group B (tau=4)",4,250,2.59187342584172
"DP Bayes","Group A (tau=2)",2,251,1.93784644486634
"Flexible","Group A (tau=2)",2,251,1.91822388503557
"L0 (L=0.5)","Group A (tau=2)",2,251,1.93752527226678
"Pooled","Group A (tau=2)",2,251,2.5424266513085
"DP Bayes","Group B (tau=4)",4,251,3.95152235133117
"Flexible","Group B (tau=4)",4,251,3.93091971547851
"L0 (L=0.5)","Group B (tau=4)",4,251,3.95386320240583
"Pooled","Group B (tau=4)",4,251,2.5424266513085
"DP Bayes","Group A (tau=2)",2,252,1.92772499356687
"Flexible","Group A (tau=2)",2,252,1.91862941979474
"L0 (L=0.5)","Group A (tau=2)",2,252,1.92780917308116
"Pooled","Group A (tau=2)",2,252,2.53522064770118
"DP Bayes","Group B (tau=4)",4,252,3.94668746565392
"Flexible","Group B (tau=4)",4,252,3.93557990295069
"L0 (L=0.5)","Group B (tau=4)",4,252,3.95251408848122
"Pooled","Group B (tau=4)",4,252,2.53522064770118
"DP Bayes","Group A (tau=2)",2,253,2.02229629545376
"Flexible","Group A (tau=2)",2,253,2.01899369227568
"L0 (L=0.5)","Group A (tau=2)",2,253,2.02156778998404
"Pooled","Group A (tau=2)",2,253,2.63349482757363
"DP Bayes","Group B (tau=4)",4,253,4.05706423702418
"Flexible","Group B (tau=4)",4,253,4.05346016595087
"L0 (L=0.5)","Group B (tau=4)",4,253,4.06132458194936
"Pooled","Group B (tau=4)",4,253,2.63349482757363
"DP Bayes","Group A (tau=2)",2,254,1.93906113460079
"Flexible","Group A (tau=2)",2,254,1.97008035109368
"L0 (L=0.5)","Group A (tau=2)",2,254,1.94697400041757
"Pooled","Group A (tau=2)",2,254,2.55281842836233
"DP Bayes","Group B (tau=4)",4,254,3.96634704833179
"Flexible","Group B (tau=4)",4,254,4.03396044374735
"L0 (L=0.5)","Group B (tau=4)",4,254,3.96645542690009
"Pooled","Group B (tau=4)",4,254,2.55281842836233
"DP Bayes","Group A (tau=2)",2,255,2.04014267296524
"Flexible","Group A (tau=2)",2,255,2.06301952117614
"L0 (L=0.5)","Group A (tau=2)",2,255,2.04631503762548
"Pooled","Group A (tau=2)",2,255,2.6385079535434
"DP Bayes","Group B (tau=4)",4,255,4.01335440258516
"Flexible","Group B (tau=4)",4,255,4.02727217224485
"L0 (L=0.5)","Group B (tau=4)",4,255,4.02029142401853
"Pooled","Group B (tau=4)",4,255,2.6385079535434
"DP Bayes","Group A (tau=2)",2,256,2.04348098747512
"Flexible","Group A (tau=2)",2,256,2.04785077329413
"L0 (L=0.5)","Group A (tau=2)",2,256,2.05340980285183
"Pooled","Group A (tau=2)",2,256,2.64084223171519
"DP Bayes","Group B (tau=4)",4,256,3.98561223899748
"Flexible","Group B (tau=4)",4,256,3.99616835510422
"L0 (L=0.5)","Group B (tau=4)",4,256,4.02252674836395
"Pooled","Group B (tau=4)",4,256,2.64084223171519
"DP Bayes","Group A (tau=2)",2,257,1.99701259547735
"Flexible","Group A (tau=2)",2,257,1.98872677701191
"L0 (L=0.5)","Group A (tau=2)",2,257,1.99401281882265
"Pooled","Group A (tau=2)",2,257,2.60733689639773
"DP Bayes","Group B (tau=4)",4,257,4.04723425739076
"Flexible","Group B (tau=4)",4,257,4.0712138010862
"L0 (L=0.5)","Group B (tau=4)",4,257,4.0384264107396
"Pooled","Group B (tau=4)",4,257,2.60733689639773
"DP Bayes","Group A (tau=2)",2,258,2.05385649034182
"Flexible","Group A (tau=2)",2,258,2.01719857676017
"L0 (L=0.5)","Group A (tau=2)",2,258,2.05125324804538
"Pooled","Group A (tau=2)",2,258,2.63509807662652
"DP Bayes","Group B (tau=4)",4,258,4.00189516363576
"Flexible","Group B (tau=4)",4,258,3.93970595741726
"L0 (L=0.5)","Group B (tau=4)",4,258,3.99740267664921
"Pooled","Group B (tau=4)",4,258,2.63509807662652
"DP Bayes","Group A (tau=2)",2,259,1.99120091352457
"Flexible","Group A (tau=2)",2,259,2.00701887835854
"L0 (L=0.5)","Group A (tau=2)",2,259,1.99080625201195
"Pooled","Group A (tau=2)",2,259,2.57986311519692
"DP Bayes","Group B (tau=4)",4,259,3.95245048136705
"Flexible","Group B (tau=4)",4,259,4.00505380141097
"L0 (L=0.5)","Group B (tau=4)",4,259,3.95432912929519
"Pooled","Group B (tau=4)",4,259,2.57986311519692
"DP Bayes","Group A (tau=2)",2,260,1.92285017257709
"Flexible","Group A (tau=2)",2,260,1.89686505188136
"L0 (L=0.5)","Group A (tau=2)",2,260,1.93109345263386
"Pooled","Group A (tau=2)",2,260,2.54201984977958
"DP Bayes","Group B (tau=4)",4,260,3.9602541877945
"Flexible","Group B (tau=4)",4,260,3.86776895049614
"L0 (L=0.5)","Group B (tau=4)",4,260,3.96751477645291
"Pooled","Group B (tau=4)",4,260,2.54201984977958
"DP Bayes","Group A (tau=2)",2,261,2.0240181035471
"Flexible","Group A (tau=2)",2,261,2.03485856856644
"L0 (L=0.5)","Group A (tau=2)",2,261,2.02323232379521
"Pooled","Group A (tau=2)",2,261,2.61986964058356
"DP Bayes","Group B (tau=4)",4,261,4.01169566627217
"Flexible","Group B (tau=4)",4,261,4.03972134440517
"L0 (L=0.5)","Group B (tau=4)",4,261,4.01202337975637
"Pooled","Group B (tau=4)",4,261,2.61986964058356
"DP Bayes","Group A (tau=2)",2,262,2.01528533538896
"Flexible","Group A (tau=2)",2,262,2.02672420429068
"L0 (L=0.5)","Group A (tau=2)",2,262,2.01288180966402
"Pooled","Group A (tau=2)",2,262,2.60718969965246
"DP Bayes","Group B (tau=4)",4,262,3.9935757633849
"Flexible","Group B (tau=4)",4,262,3.96637718095513
"L0 (L=0.5)","Group B (tau=4)",4,262,3.99390810962547
"Pooled","Group B (tau=4)",4,262,2.60718969965246
"DP Bayes","Group A (tau=2)",2,263,2.01537714850144
"Flexible","Group A (tau=2)",2,263,2.05868231443255
"L0 (L=0.5)","Group A (tau=2)",2,263,2.0466244666386
"Pooled","Group A (tau=2)",2,263,2.5862097812462
"DP Bayes","Group B (tau=4)",4,263,3.93152902439255
"Flexible","Group B (tau=4)",4,263,3.95099854771616
"L0 (L=0.5)","Group B (tau=4)",4,263,3.95450754901392
"Pooled","Group B (tau=4)",4,263,2.5862097812462
"DP Bayes","Group A (tau=2)",2,264,2.01295044295646
"Flexible","Group A (tau=2)",2,264,2.03529650665044
"L0 (L=0.5)","Group A (tau=2)",2,264,2.01526928939573
"Pooled","Group A (tau=2)",2,264,2.60318470750632
"DP Bayes","Group B (tau=4)",4,264,3.97753012541035
"Flexible","Group B (tau=4)",4,264,4.00582261291
"L0 (L=0.5)","Group B (tau=4)",4,264,3.97498734976436
"Pooled","Group B (tau=4)",4,264,2.60318470750632
"DP Bayes","Group A (tau=2)",2,265,2.00075697908568
"Flexible","Group A (tau=2)",2,265,2.01126794934051
"L0 (L=0.5)","Group A (tau=2)",2,265,2.00016561176359
"Pooled","Group A (tau=2)",2,265,2.61518194211537
"DP Bayes","Group B (tau=4)",4,265,4.04211149468043
"Flexible","Group B (tau=4)",4,265,4.01532500508994
"L0 (L=0.5)","Group B (tau=4)",4,265,4.05022004626955
"Pooled","Group B (tau=4)",4,265,2.61518194211537
"DP Bayes","Group A (tau=2)",2,266,2.00862403769205
"Flexible","Group A (tau=2)",2,266,2.02831808796756
"L0 (L=0.5)","Group A (tau=2)",2,266,2.01105544022407
"Pooled","Group A (tau=2)",2,266,2.63554994768152
"DP Bayes","Group B (tau=4)",4,266,4.08876305273624
"Flexible","Group B (tau=4)",4,266,4.13482473382795
"L0 (L=0.5)","Group B (tau=4)",4,266,4.09270379841553
"Pooled","Group B (tau=4)",4,266,2.63554994768152
"DP Bayes","Group A (tau=2)",2,267,2.00106802504588
"Flexible","Group A (tau=2)",2,267,1.99685111020492
"L0 (L=0.5)","Group A (tau=2)",2,267,2.00071909004622
"Pooled","Group A (tau=2)",2,267,2.61591852708289
"DP Bayes","Group B (tau=4)",4,267,4.05090707356711
"Flexible","Group B (tau=4)",4,267,4.09051472736308
"L0 (L=0.5)","Group B (tau=4)",4,267,4.05138388016844
"Pooled","Group B (tau=4)",4,267,2.61591852708289
"DP Bayes","Group A (tau=2)",2,268,2.01261012289292
"Flexible","Group A (tau=2)",2,268,2.00116523585854
"L0 (L=0.5)","Group A (tau=2)",2,268,2.0105990193768
"Pooled","Group A (tau=2)",2,268,2.62454197602625
"DP Bayes","Group B (tau=4)",4,268,4.06625413351034
"Flexible","Group B (tau=4)",4,268,4.04947054885926
"L0 (L=0.5)","Group B (tau=4)",4,268,4.05707554154161
"Pooled","Group B (tau=4)",4,268,2.62454197602625
"DP Bayes","Group A (tau=2)",2,269,2.07248649494818
"Flexible","Group A (tau=2)",2,269,2.06783358689258
"L0 (L=0.5)","Group A (tau=2)",2,269,2.07031729838918
"Pooled","Group A (tau=2)",2,269,2.6664657119011
"DP Bayes","Group B (tau=4)",4,269,4.05647544164019
"Flexible","Group B (tau=4)",4,269,4.05310289436203
"L0 (L=0.5)","Group B (tau=4)",4,269,4.05747867676227
"Pooled","Group B (tau=4)",4,269,2.6664657119011
"DP Bayes","Group A (tau=2)",2,270,1.92987708526483
"Flexible","Group A (tau=2)",2,270,1.91355096982947
"L0 (L=0.5)","Group A (tau=2)",2,270,1.92093410859546
"Pooled","Group A (tau=2)",2,270,2.56391041644236
"DP Bayes","Group B (tau=4)",4,270,4.01198509920433
"Flexible","Group B (tau=4)",4,270,4.00960363032189
"L0 (L=0.5)","Group B (tau=4)",4,270,4.03054269885387
"Pooled","Group B (tau=4)",4,270,2.56391041644236
"DP Bayes","Group A (tau=2)",2,271,1.99519845514667
"Flexible","Group A (tau=2)",2,271,2.00189651132203
"L0 (L=0.5)","Group A (tau=2)",2,271,1.99404335944492
"Pooled","Group A (tau=2)",2,271,2.60606679507089
"DP Bayes","Group B (tau=4)",4,271,4.03194769159695
"Flexible","Group B (tau=4)",4,271,3.97774699204973
"L0 (L=0.5)","Group B (tau=4)",4,271,4.03412147819817
"Pooled","Group B (tau=4)",4,271,2.60606679507089
"DP Bayes","Group A (tau=2)",2,272,2.01985579776111
"Flexible","Group A (tau=2)",2,272,2.02802737464018
"L0 (L=0.5)","Group A (tau=2)",2,272,2.02538771048784
"Pooled","Group A (tau=2)",2,272,2.61457597758501
"DP Bayes","Group B (tau=4)",4,272,3.99375941039249
"Flexible","Group B (tau=4)",4,272,4.03104422934887
"L0 (L=0.5)","Group B (tau=4)",4,272,3.98934860081174
"Pooled","Group B (tau=4)",4,272,2.61457597758501
"DP Bayes","Group A (tau=2)",2,273,1.99825368722514
"Flexible","Group A (tau=2)",2,273,1.98429818038581
"L0 (L=0.5)","Group A (tau=2)",2,273,1.99437033800258
"Pooled","Group A (tau=2)",2,273,2.6026530679414
"DP Bayes","Group B (tau=4)",4,273,4.02226403074099
"Flexible","Group B (tau=4)",4,273,3.97727473432843
"L0 (L=0.5)","Group B (tau=4)",4,273,4.02197943779863
"Pooled","Group B (tau=4)",4,273,2.6026530679414
"DP Bayes","Group A (tau=2)",2,274,1.94983329191463
"Flexible","Group A (tau=2)",2,274,1.96600454412397
"L0 (L=0.5)","Group A (tau=2)",2,274,1.95577241684559
"Pooled","Group A (tau=2)",2,274,2.55086493637416
"DP Bayes","Group B (tau=4)",4,274,3.94229264788825
"Flexible","Group B (tau=4)",4,274,3.94606677548761
"L0 (L=0.5)","Group B (tau=4)",4,274,3.93941414860746
"Pooled","Group B (tau=4)",4,274,2.55086493637416
"DP Bayes","Group A (tau=2)",2,275,1.99296104631084
"Flexible","Group A (tau=2)",2,275,1.97960236258848
"L0 (L=0.5)","Group A (tau=2)",2,275,1.98982441562451
"Pooled","Group A (tau=2)",2,275,2.5839822855615
"DP Bayes","Group B (tau=4)",4,275,3.97594803625603
"Flexible","Group B (tau=4)",4,275,3.99026359570038
"L0 (L=0.5)","Group B (tau=4)",4,275,3.97035064874782
"Pooled","Group B (tau=4)",4,275,2.5839822855615
"DP Bayes","Group A (tau=2)",2,276,2.02229169272403
"Flexible","Group A (tau=2)",2,276,2.0148994874836
"L0 (L=0.5)","Group A (tau=2)",2,276,2.0200181518206
"Pooled","Group A (tau=2)",2,276,2.60212741020162
"DP Bayes","Group B (tau=4)",4,276,3.95596390621806
"Flexible","Group B (tau=4)",4,276,3.9098600992754
"L0 (L=0.5)","Group B (tau=4)",4,276,3.96038234642402
"Pooled","Group B (tau=4)",4,276,2.60212741020162
"DP Bayes","Group A (tau=2)",2,277,1.98499874552195
"Flexible","Group A (tau=2)",2,277,1.96989060006233
"L0 (L=0.5)","Group A (tau=2)",2,277,1.98174121254808
"Pooled","Group A (tau=2)",2,277,2.60333002693535
"DP Bayes","Group B (tau=4)",4,277,4.05924577617308
"Flexible","Group B (tau=4)",4,277,4.05491271349125
"L0 (L=0.5)","Group B (tau=4)",4,277,4.05370392717229
"Pooled","Group B (tau=4)",4,277,2.60333002693535
"DP Bayes","Group A (tau=2)",2,278,2.02951410362223
"Flexible","Group A (tau=2)",2,278,2.03982286963888
"L0 (L=0.5)","Group A (tau=2)",2,278,2.03679870803267
"Pooled","Group A (tau=2)",2,278,2.62652715473961
"DP Bayes","Group B (tau=4)",4,278,3.99312723336387
"Flexible","Group B (tau=4)",4,278,3.97519688761431
"L0 (L=0.5)","Group B (tau=4)",4,278,4.00256019705582
"Pooled","Group B (tau=4)",4,278,2.62652715473961
"DP Bayes","Group A (tau=2)",2,279,1.99351724197181
"Flexible","Group A (tau=2)",2,279,1.97185886702771
"L0 (L=0.5)","Group A (tau=2)",2,279,1.9926384721478
"Pooled","Group A (tau=2)",2,279,2.61617674388007
"DP Bayes","Group B (tau=4)",4,279,4.0730829202706
"Flexible","Group B (tau=4)",4,279,4.0536792406137
"L0 (L=0.5)","Group B (tau=4)",4,279,4.07109937792201
"Pooled","Group B (tau=4)",4,279,2.61617674388007
"DP Bayes","Group A (tau=2)",2,280,1.99478929710748
"Flexible","Group A (tau=2)",2,280,1.99666370998794
"L0 (L=0.5)","Group A (tau=2)",2,280,2.00076952956658
"Pooled","Group A (tau=2)",2,280,2.60477624493124
"DP Bayes","Group B (tau=4)",4,280,4.00425838937039
"Flexible","Group B (tau=4)",4,280,3.99010140247585
"L0 (L=0.5)","Group B (tau=4)",4,280,4.01412524744877
"Pooled","Group B (tau=4)",4,280,2.60477624493124
"DP Bayes","Group A (tau=2)",2,281,1.94350663116368
"Flexible","Group A (tau=2)",2,281,1.92759326674231
"L0 (L=0.5)","Group A (tau=2)",2,281,1.9506800233931
"Pooled","Group A (tau=2)",2,281,2.57091275525787
"DP Bayes","Group B (tau=4)",4,281,4.0097386235547
"Flexible","Group B (tau=4)",4,281,4.0304769551325
"L0 (L=0.5)","Group B (tau=4)",4,281,4.01812246294237
"Pooled","Group B (tau=4)",4,281,2.57091275525787
"DP Bayes","Group A (tau=2)",2,282,2.01298276417452
"Flexible","Group A (tau=2)",2,282,2.0169861057705
"L0 (L=0.5)","Group A (tau=2)",2,282,2.01367138545087
"Pooled","Group A (tau=2)",2,282,2.62892799533257
"DP Bayes","Group B (tau=4)",4,282,4.06314695850363
"Flexible","Group B (tau=4)",4,282,4.10000509148252
"L0 (L=0.5)","Group B (tau=4)",4,282,4.06452675172318
"Pooled","Group B (tau=4)",4,282,2.62892799533257
"DP Bayes","Group A (tau=2)",2,283,1.9984696373247
"Flexible","Group A (tau=2)",2,283,2.00167058348191
"L0 (L=0.5)","Group A (tau=2)",2,283,1.99589043940746
"Pooled","Group A (tau=2)",2,283,2.61233721216539
"DP Bayes","Group B (tau=4)",4,283,4.0508453320934
"Flexible","Group B (tau=4)",4,283,4.04029337601064
"L0 (L=0.5)","Group B (tau=4)",4,283,4.05071301526723
"Pooled","Group B (tau=4)",4,283,2.61233721216539
"DP Bayes","Group A (tau=2)",2,284,1.94615300284121
"Flexible","Group A (tau=2)",2,284,1.95466927062406
"L0 (L=0.5)","Group A (tau=2)",2,284,1.9436143856253
"Pooled","Group A (tau=2)",2,284,2.56804516822038
"DP Bayes","Group B (tau=4)",4,284,4.0215195666486
"Flexible","Group B (tau=4)",4,284,4.07080757962484
"L0 (L=0.5)","Group B (tau=4)",4,284,4.0250503276089
"Pooled","Group B (tau=4)",4,284,2.56804516822038
"DP Bayes","Group A (tau=2)",2,285,2.04704842631429
"Flexible","Group A (tau=2)",2,285,2.03840097893042
"L0 (L=0.5)","Group A (tau=2)",2,285,2.05288815942737
"Pooled","Group A (tau=2)",2,285,2.64983574273401
"DP Bayes","Group B (tau=4)",4,285,4.03782888845938
"Flexible","Group B (tau=4)",4,285,4.03182079572355
"L0 (L=0.5)","Group B (tau=4)",4,285,4.04271343711621
"Pooled","Group B (tau=4)",4,285,2.64983574273401
"DP Bayes","Group A (tau=2)",2,286,1.99565518731198
"Flexible","Group A (tau=2)",2,286,2.02098073719147
"L0 (L=0.5)","Group A (tau=2)",2,286,1.99844511306183
"Pooled","Group A (tau=2)",2,286,2.59040977886214
"DP Bayes","Group B (tau=4)",4,286,3.97603324383194
"Flexible","Group B (tau=4)",4,286,4.03331379188635
"L0 (L=0.5)","Group B (tau=4)",4,286,3.97166066572954
"Pooled","Group B (tau=4)",4,286,2.59040977886214
"DP Bayes","Group A (tau=2)",2,287,2.0627923994904
"Flexible","Group A (tau=2)",2,287,2.05689388540333
"L0 (L=0.5)","Group A (tau=2)",2,287,2.05966992621537
"Pooled","Group A (tau=2)",2,287,2.65097034522126
"DP Bayes","Group B (tau=4)",4,287,4.034195711043
"Flexible","Group B (tau=4)",4,287,4.06791133535777
"L0 (L=0.5)","Group B (tau=4)",4,287,4.03067132290171
"Pooled","Group B (tau=4)",4,287,2.65097034522126
"DP Bayes","Group A (tau=2)",2,288,1.94381064175824
"Flexible","Group A (tau=2)",2,288,1.9551087342
"L0 (L=0.5)","Group A (tau=2)",2,288,1.94609131500993
"Pooled","Group A (tau=2)",2,288,2.55668477060307
"DP Bayes","Group B (tau=4)",4,288,3.97518794335574
"Flexible","Group B (tau=4)",4,288,3.96185566027284
"L0 (L=0.5)","Group B (tau=4)",4,288,3.98140283365372
"Pooled","Group B (tau=4)",4,288,2.55668477060307
"DP Bayes","Group A (tau=2)",2,289,1.95031160980225
"Flexible","Group A (tau=2)",2,289,1.94999120176166
"L0 (L=0.5)","Group A (tau=2)",2,289,1.95225455172176
"Pooled","Group A (tau=2)",2,289,2.5730981738443
"DP Bayes","Group B (tau=4)",4,289,4.02426590454727
"Flexible","Group B (tau=4)",4,289,4.01602699317437
"L0 (L=0.5)","Group B (tau=4)",4,289,4.02173329213023
"Pooled","Group B (tau=4)",4,289,2.5730981738443
"DP Bayes","Group A (tau=2)",2,290,1.97157378507516
"Flexible","Group A (tau=2)",2,290,1.97272935924507
"L0 (L=0.5)","Group A (tau=2)",2,290,1.97707136642531
"Pooled","Group A (tau=2)",2,290,2.56644101908981
"DP Bayes","Group B (tau=4)",4,290,3.9357534118521
"Flexible","Group B (tau=4)",4,290,3.94511945437477
"L0 (L=0.5)","Group B (tau=4)",4,290,3.94163687530699
"Pooled","Group B (tau=4)",4,290,2.56644101908981
"DP Bayes","Group A (tau=2)",2,291,2.0629259764308
"Flexible","Group A (tau=2)",2,291,2.05301432625645
"L0 (L=0.5)","Group A (tau=2)",2,291,2.05955457963133
"Pooled","Group A (tau=2)",2,291,2.64835864239394
"DP Bayes","Group B (tau=4)",4,291,4.0210241161233
"Flexible","Group B (tau=4)",4,291,4.03302883581873
"L0 (L=0.5)","Group B (tau=4)",4,291,4.02223478884003
"Pooled","Group B (tau=4)",4,291,2.64835864239394
"DP Bayes","Group A (tau=2)",2,292,2.02193258285101
"Flexible","Group A (tau=2)",2,292,2.00122240792618
"L0 (L=0.5)","Group A (tau=2)",2,292,2.01554607645733
"Pooled","Group A (tau=2)",2,292,2.61243517079273
"DP Bayes","Group B (tau=4)",4,292,4.00787005778768
"Flexible","Group B (tau=4)",4,292,3.99166828447219
"L0 (L=0.5)","Group B (tau=4)",4,292,4.00517639090867
"Pooled","Group B (tau=4)",4,292,2.61243517079273
"DP Bayes","Group A (tau=2)",2,293,1.97057211271353
"Flexible","Group A (tau=2)",2,293,1.98119120369453
"L0 (L=0.5)","Group A (tau=2)",2,293,1.96887922428873
"Pooled","Group A (tau=2)",2,293,2.57914583618845
"DP Bayes","Group B (tau=4)",4,293,4.00093369680781
"Flexible","Group B (tau=4)",4,293,4.05379086193438
"L0 (L=0.5)","Group B (tau=4)",4,293,4.00310126395448
"Pooled","Group B (tau=4)",4,293,2.57914583618845
"DP Bayes","Group A (tau=2)",2,294,2.02734600791042
"Flexible","Group A (tau=2)",2,294,2.01351105653475
"L0 (L=0.5)","Group A (tau=2)",2,294,2.03176974986126
"Pooled","Group A (tau=2)",2,294,2.60323561553594
"DP Bayes","Group B (tau=4)",4,294,3.93787958579364
"Flexible","Group B (tau=4)",4,294,3.9083641373314
"L0 (L=0.5)","Group B (tau=4)",4,294,3.93665596877684
"Pooled","Group B (tau=4)",4,294,2.60323561553594
"DP Bayes","Group A (tau=2)",2,295,1.95108009116061
"Flexible","Group A (tau=2)",2,295,1.96253425259212
"L0 (L=0.5)","Group A (tau=2)",2,295,1.97029255384542
"Pooled","Group A (tau=2)",2,295,2.52367175473897
"DP Bayes","Group B (tau=4)",4,295,3.85374332960098
"Flexible","Group B (tau=4)",4,295,3.84787429814076
"L0 (L=0.5)","Group B (tau=4)",4,295,3.86089418731212
"Pooled","Group B (tau=4)",4,295,2.52367175473897
"DP Bayes","Group A (tau=2)",2,296,2.00852172031723
"Flexible","Group A (tau=2)",2,296,2.00085697446999
"L0 (L=0.5)","Group A (tau=2)",2,296,2.00917246621078
"Pooled","Group A (tau=2)",2,296,2.61265798022975
"DP Bayes","Group B (tau=4)",4,296,4.02228694185496
"Flexible","Group B (tau=4)",4,296,3.99518667775587
"L0 (L=0.5)","Group B (tau=4)",4,296,4.02079084627402
"Pooled","Group B (tau=4)",4,296,2.61265798022975
"DP Bayes","Group A (tau=2)",2,297,2.00101855891533
"Flexible","Group A (tau=2)",2,297,1.98673248839321
"L0 (L=0.5)","Group A (tau=2)",2,297,2.0025351591245
"Pooled","Group A (tau=2)",2,297,2.59531901111447
"DP Bayes","Group B (tau=4)",4,297,3.97420465688314
"Flexible","Group B (tau=4)",4,297,3.91778152942465
"L0 (L=0.5)","Group B (tau=4)",4,297,3.97848133242441
"Pooled","Group B (tau=4)",4,297,2.59531901111447
"DP Bayes","Group A (tau=2)",2,298,1.97467959698372
"Flexible","Group A (tau=2)",2,298,1.98294425548458
"L0 (L=0.5)","Group A (tau=2)",2,298,1.97599565988068
"Pooled","Group A (tau=2)",2,298,2.58038454758496
"DP Bayes","Group B (tau=4)",4,298,3.98684970701206
"Flexible","Group B (tau=4)",4,298,4.0461612723915
"L0 (L=0.5)","Group B (tau=4)",4,298,3.99062528556161
"Pooled","Group B (tau=4)",4,298,2.58038454758496
"DP Bayes","Group A (tau=2)",2,299,2.01203346650146
"Flexible","Group A (tau=2)",2,299,2.02313606075957
"L0 (L=0.5)","Group A (tau=2)",2,299,2.01509617849389
"Pooled","Group A (tau=2)",2,299,2.64368072371977
"DP Bayes","Group B (tau=4)",4,299,4.10856956241364
"Flexible","Group B (tau=4)",4,299,4.1316838046656
"L0 (L=0.5)","Group B (tau=4)",4,299,4.11037799591349
"Pooled","Group B (tau=4)",4,299,2.64368072371977
"DP Bayes","Group A (tau=2)",2,300,1.92638656577224
"Flexible","Group A (tau=2)",2,300,1.92118049213241
"L0 (L=0.5)","Group A (tau=2)",2,300,1.9201487706082
"Pooled","Group A (tau=2)",2,300,2.54876434325489
"DP Bayes","Group B (tau=4)",4,300,4.01144825069342
"Flexible","Group B (tau=4)",4,300,4.03299047068061
"L0 (L=0.5)","Group B (tau=4)",4,300,4.01553401276378
"Pooled","Group B (tau=4)",4,300,2.54876434325489
"DP Bayes","Group A (tau=2)",2,301,1.98750057881923
"Flexible","Group A (tau=2)",2,301,1.97800393854012
"L0 (L=0.5)","Group A (tau=2)",2,301,1.98299445051764
"Pooled","Group A (tau=2)",2,301,2.59200591344723
"DP Bayes","Group B (tau=4)",4,301,4.00001304975483
"Flexible","Group B (tau=4)",4,301,4.00217304197763
"L0 (L=0.5)","Group B (tau=4)",4,301,4.01303266028297
"Pooled","Group B (tau=4)",4,301,2.59200591344723
"DP Bayes","Group A (tau=2)",2,302,2.02944214368973
"Flexible","Group A (tau=2)",2,302,2.04230166787804
"L0 (L=0.5)","Group A (tau=2)",2,302,2.03341965050259
"Pooled","Group A (tau=2)",2,302,2.62549763484605
"DP Bayes","Group B (tau=4)",4,302,4.00410270179078
"Flexible","Group B (tau=4)",4,302,3.99933885078539
"L0 (L=0.5)","Group B (tau=4)",4,302,4.00701293164748
"Pooled","Group B (tau=4)",4,302,2.62549763484605
"DP Bayes","Group A (tau=2)",2,303,1.92071360503242
"Flexible","Group A (tau=2)",2,303,1.90484917511007
"L0 (L=0.5)","Group A (tau=2)",2,303,1.91586983957521
"Pooled","Group A (tau=2)",2,303,2.54324075035062
"DP Bayes","Group B (tau=4)",4,303,3.99365890630844
"Flexible","Group B (tau=4)",4,303,3.96859672037332
"L0 (L=0.5)","Group B (tau=4)",4,303,3.98920579731856
"Pooled","Group B (tau=4)",4,303,2.54324075035062
"DP Bayes","Group A (tau=2)",2,304,2.02803009765903
"Flexible","Group A (tau=2)",2,304,2.03878993681822
"L0 (L=0.5)","Group A (tau=2)",2,304,2.02364517375966
"Pooled","Group A (tau=2)",2,304,2.63447735121418
"DP Bayes","Group B (tau=4)",4,304,4.05902874712515
"Flexible","Group B (tau=4)",4,304,4.05461726608083
"L0 (L=0.5)","Group B (tau=4)",4,304,4.05975243194137
"Pooled","Group B (tau=4)",4,304,2.63447735121418
"DP Bayes","Group A (tau=2)",2,305,2.00297592664024
"Flexible","Group A (tau=2)",2,305,2.02402794983676
"L0 (L=0.5)","Group A (tau=2)",2,305,2.00615446130086
"Pooled","Group A (tau=2)",2,305,2.60288387542772
"DP Bayes","Group B (tau=4)",4,305,3.99644539377324
"Flexible","Group B (tau=4)",4,305,3.99225117036313
"L0 (L=0.5)","Group B (tau=4)",4,305,3.99525250839042
"Pooled","Group B (tau=4)",4,305,2.60288387542772
"DP Bayes","Group A (tau=2)",2,306,1.91974397123423
"Flexible","Group A (tau=2)",2,306,1.91760335598275
"L0 (L=0.5)","Group A (tau=2)",2,306,1.91934499251477
"Pooled","Group A (tau=2)",2,306,2.52595638686555
"DP Bayes","Group B (tau=4)",4,306,3.93162967690923
"Flexible","Group B (tau=4)",4,306,3.94797529989592
"L0 (L=0.5)","Group B (tau=4)",4,306,3.94138297368401
"Pooled","Group B (tau=4)",4,306,2.52595638686555
"DP Bayes","Group A (tau=2)",2,307,2.00440987525353
"Flexible","Group A (tau=2)",2,307,1.99985440744333
"L0 (L=0.5)","Group A (tau=2)",2,307,2.00035294088354
"Pooled","Group A (tau=2)",2,307,2.6220461705185
"DP Bayes","Group B (tau=4)",4,307,4.07465554862504
"Flexible","Group B (tau=4)",4,307,4.05517799019672
"L0 (L=0.5)","Group B (tau=4)",4,307,4.07266370633343
"Pooled","Group B (tau=4)",4,307,2.6220461705185
